date,price
1969-12-30,2.4945
1969-12-31,2.5078
1970-01-05,2.5125
1970-01-06,2.5200
1970-01-07,2.5325
1970-01-08,2.5375
1970-01-09,2.5338
1970-01-12,2.5450
1970-01-13,2.5413
1970-01-14,2.5438
1970-01-15,2.5475
1970-01-16,2.5538
1970-01-19,2.5600
1970-01-20,2.5325
1970-01-21,2.5475
1970-01-22,2.5500
1970-01-23,2.5475
1970-01-26,2.5313
1970-01-27,2.5375
1970-01-28,2.5363
1970-01-29,2.5313
1970-01-30,2.5413
1970-02-02,2.5525
1970-02-03,2.5475
1970-02-04,2.5513
1970-02-05,2.5525
1970-02-06,2.5538
1970-02-09,2.5488
1970-02-10,2.5400
1970-02-11,2.5450
1970-02-12,2.5450
1970-02-13,2.5400
1970-02-16,2.5438
1970-02-17,2.5475
1970-02-18,2.5675
1970-02-19,2.5600
1970-02-20,2.5638
1970-02-24,2.5928
1970-02-25,2.5968
1970-02-26,2.5960
1970-02-27,2.5998
1970-03-02,2.6163
1970-03-03,2.6238
1970-03-04,2.5950
1970-03-05,2.6050
1970-03-06,2.6013
1970-03-09,2.5863
1970-03-10,2.5900
1970-03-11,2.6050
1970-03-12,2.6125
1970-03-13,2.6063
1970-03-16,2.5950
1970-03-17,2.6100
1970-03-18,2.6050
1970-03-19,2.5988
1970-03-20,2.5988
1970-03-23,2.5938
1970-03-24,2.5913
1970-03-25,2.5938
1970-03-26,2.5950
1970-03-30,2.5925
1970-03-31,2.5925
1970-04-01,2.6025
1970-04-02,2.5988
1970-04-03,2.6138
1970-04-06,2.6188
1970-04-07,2.6088
1970-04-08,2.6175
1970-04-09,2.6225
1970-04-10,2.6325
1970-04-13,2.6438
1970-04-14,2.6438
1970-04-15,2.6338
1970-04-16,2.6425
1970-04-17,2.6400
1970-04-20,2.6388
1970-04-21,2.6563
1970-04-22,2.6450
1970-04-23,2.6513
1970-04-24,2.6538
1970-04-27,2.6325
1970-04-28,2.6495
1970-04-29,2.6558
1970-04-30,2.6770
1970-05-01,2.6888
1970-05-04,2.6788
1970-05-05,2.6750
1970-05-06,2.6688
1970-05-07,2.6763
1970-05-08,2.6875
1970-05-11,2.6813
1970-05-12,2.6763
1970-05-13,2.6725
1970-05-14,2.6825
1970-05-15,2.6975
1970-05-18,2.6875
1970-05-19,2.6800
1970-05-20,2.6938
1970-05-21,2.7213
1970-05-22,2.7150
1970-05-25,2.7038
1970-05-26,2.6975
1970-05-27,2.7188
1970-05-28,2.7100
1970-06-01,2.7113
1970-06-02,2.7113
1970-06-03,2.7225
1970-06-04,2.7375
1970-06-05,2.7350
1970-06-08,2.7600
1970-06-09,2.7625
1970-06-10,2.8000
1970-06-11,2.7925
1970-06-12,2.7850
1970-06-15,2.7750
1970-06-16,2.7675
1970-06-17,2.7625
1970-06-18,2.7700
1970-06-19,2.7825
1970-06-22,2.7913
1970-06-23,2.8350
1970-06-24,2.8100
1970-06-25,2.8710
1970-06-26,2.8895
1970-06-29,2.9255
1970-06-30,2.9160
1970-07-01,2.8900
1970-07-02,2.9175
1970-07-06,2.8600
1970-07-07,2.8650
1970-07-08,2.9375
1970-07-09,2.8950
1970-07-10,2.8750
1970-07-13,2.9763
1970-07-14,2.9325
1970-07-15,2.9550
1970-07-16,2.9325
1970-07-17,2.9500
1970-07-20,2.9550
1970-07-21,2.9450
1970-07-22,2.9588
1970-07-23,2.9725
1970-07-24,2.9325
1970-07-27,2.9175
1970-07-28,2.8560
1970-07-29,2.8275
1970-07-30,2.8295
1970-07-31,2.8330
1970-08-03,2.8350
1970-08-04,2.7800
1970-08-05,2.7875
1970-08-06,2.7800
1970-08-07,2.8050
1970-08-10,2.7900
1970-08-11,2.7788
1970-08-12,2.8500
1970-08-13,2.8200
1970-08-14,2.8275
1970-08-17,2.9288
1970-08-18,2.8500
1970-08-19,2.8950
1970-08-20,2.8450
1970-08-21,2.8150
1970-08-24,2.7975
1970-08-25,2.8075
1970-08-26,2.7770
1970-08-27,2.7860
1970-08-28,2.8080
1970-08-31,2.7880
1970-09-01,2.7525
1970-09-02,2.7975
1970-09-03,2.7825
1970-09-04,2.8150
1970-09-08,2.8250
1970-09-09,2.8225
1970-09-10,2.8350
1970-09-11,2.8288
1970-09-14,2.8875
1970-09-15,2.8775
1970-09-16,2.8788
1970-09-17,2.8300
1970-09-18,2.8550
1970-09-21,2.8275
1970-09-22,2.8775
1970-09-23,2.9000
1970-09-24,2.9100
1970-09-25,2.8913
1970-09-28,2.8638
1970-09-29,2.8425
1970-09-30,2.8600
1970-10-01,2.8625
1970-10-02,2.8700
1970-10-05,2.9125
1970-10-06,2.9188
1970-10-07,2.9525
1970-10-08,2.9613
1970-10-09,2.9888
1970-10-12,3.0163
1970-10-13,2.9788
1970-10-14,2.9813
1970-10-15,2.9725
1970-10-16,2.9425
1970-10-19,2.9313
1970-10-20,2.9788
1970-10-21,2.9850
1970-10-22,3.0200
1970-10-23,3.0525
1970-10-26,3.0350
1970-10-27,3.0820
1970-10-28,3.0840
1970-10-29,3.0500
1970-10-30,3.0725
1970-11-02,3.0750
1970-11-04,3.0563
1970-11-05,3.0950
1970-11-06,3.0675
1970-11-09,3.0575
1970-11-10,3.0800
1970-11-11,3.0775
1970-11-12,3.0825
1970-11-13,3.0900
1970-11-16,3.0800
1970-11-17,3.0888
1970-11-18,3.0825
1970-11-19,3.0825
1970-11-20,3.0725
1970-11-23,3.0750
1970-11-24,2.9763
1970-11-25,2.9875
1970-11-27,3.0025
1970-11-30,2.9900
1970-12-01,2.9975
1970-12-02,2.9550
1970-12-03,2.9725
1970-12-04,2.9900
1970-12-07,2.9763
1970-12-08,2.9488
1970-12-09,2.9250
1970-12-10,2.9100
1970-12-11,2.9275
1970-12-14,2.9275
1970-12-15,2.9700
1970-12-16,2.9838
1970-12-17,2.9775
1970-12-18,2.9925
1970-12-21,2.9600
1970-12-22,2.9313
1970-12-23,2.9363
1970-12-24,2.9625
1970-12-28,2.9548
1970-12-29,2.9783
1970-12-30,2.9590
1970-12-31,2.9685
1971-01-04,2.9788
1971-01-05,3.0038
1971-01-06,2.9950
1971-01-07,2.9925
1971-01-08,3.0288
1971-01-11,3.0350
1971-01-12,3.0488
1971-01-13,3.0550
1971-01-14,3.0450
1971-01-15,3.1100
1971-01-18,3.0825
1971-01-19,3.0975
1971-01-20,3.1150
1971-01-21,3.0838
1971-01-22,3.1000
1971-01-25,3.0975
1971-01-26,3.1025
1971-01-27,3.0750
1971-01-28,3.0575
1971-01-29,3.0738
1971-02-01,3.0688
1971-02-02,3.0838
1971-02-03,3.0825
1971-02-04,3.0688
1971-02-05,3.0625
1971-02-08,3.0350
1971-02-09,3.0450
1971-02-10,3.0463
1971-02-11,3.0650
1971-02-12,3.0725
1971-02-16,3.0400
1971-02-17,3.0513
1971-02-18,3.0675
1971-02-19,3.0525
1971-02-22,3.0438
1971-02-23,3.0565
1971-02-24,3.0445
1971-02-25,3.0733
1971-02-26,3.0695
1971-03-01,3.0625
1971-03-02,3.0688
1971-03-03,3.0700
1971-03-04,3.0750
1971-03-05,3.0750
1971-03-08,3.0675
1971-03-09,3.0738
1971-03-10,3.0913
1971-03-11,3.0775
1971-03-12,3.0775
1971-03-15,3.0788
1971-03-16,3.0725
